tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix_g_cons	rec_signs	cor_signs	heb_g_cons	other_vowel_ending	final_h	line	column	has_pronominal_suffix	has_prefix	has_hloc	has_nme	rec_signs_stem	cor_signs_stem	type	vowel_letter	has_vowel_letter
73857	MT	Numbers	6	23	>MR[	>MWR	>MWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	אמור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
77096	MT	Numbers	11	15	HRG[	HRG	HRG	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	הרג		noH	-	-	0	0	0	0	nnn	nnn	first		0
77535	MT	Numbers	11	32	CVX[	CVWX	CVWX	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שטוח		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
77814	MT	Numbers	12	14	JRQ[	JRQ	JRQ	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	ירק		noH	-	-	0	0	0	0	nnn	nnn	first		0
78337	MT	Numbers	13	30	JKL[	JKWL	JKWL	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	יכול		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
79935	MT	Numbers	15	35	RGM[	RGWM	RGWM	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	רגום		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
83158	MT	Numbers	21	2	NTN[	NTN	NTN	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	נתן		noH	-	-	0	0	0	0	nnn	nnn	first		0
84605	MT	Numbers	22	37	CLX[	CLX	CLX	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שלח		noH	-	-	0	0	0	0	nnn	nnn	first		0
84630	MT	Numbers	22	38	JKL[	JKWL	JKWL	CCMC	CCMC	qal	infa		unknown	unknown	verb				H	nnnn	nnnn	יכול		noH	-	-	0	1	0	0	nnnn	nnnn	first		0
85900	MT	Numbers	25	17	YRR=[	YRWR	YRWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	צרור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
87023	MT	Numbers	27	7	NTN[	NTN	NTN	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	נתן		noH	-	-	0	0	0	0	nnn	nnn	first		0
92331	MT	Numbers	35	26	JY>[	JY>	JY>	CCM	CCM	qal	infa		unknown	unknown	verb					nnn	nnn	יצא		noH	-	-	0	0	0	0	nnn	nnn	first		0
93121	MT	Deuteronomy	1	16	CM<[	CM<	CM<	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שמע		noH	-	-	0	0	0	0	nnn	nnn	first		0
95758	MT	Deuteronomy	4	26	>BD[	>BD	>BD	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	אבד		noH	-	-	0	0	0	0	nnn	nnn	first		0
96519	MT	Deuteronomy	5	12	CMR[	CMWR	CMWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שמור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
97244	MT	Deuteronomy	6	17	CMR[	CMWR	CMWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שמור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
97816	MT	Deuteronomy	7	18	ZKR[	ZKR	ZKR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	זכר		noH	-	-	0	0	0	0	nnn	nnn	first		0
98359	MT	Deuteronomy	8	19	CKX[	CKX	CKX	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שכח		noH	-	-	0	0	0	0	nnn	nnn	first		0
98379	MT	Deuteronomy	8	19	>BD[	>BD	>BD	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	אבד		noH	-	-	0	0	0	0	nnn	nnn	first		0
98927	MT	Deuteronomy	9	21	VXN[	VXWN	VXWN	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	טחון		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
99870	MT	Deuteronomy	11	13	CM<[	CM<	CM<	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שמע		noH	-	-	0	0	0	0	nnn	nnn	first		0
100051	MT	Deuteronomy	11	22	CMR[	CMR	CMR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שמר		noH	-	-	0	0	0	0	nnn	nnn	first		0
101251	MT	Deuteronomy	13	10	HRG[	HRG	HRG	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	הרג		noH	-	-	0	0	0	0	nnn	nnn	first		0
101769	MT	Deuteronomy	14	21	MKR[	MKR	MKR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	מכר		noH	-	-	0	0	0	0	nnn	nnn	first		0
102003	MT	Deuteronomy	15	2	CMV[	CMWV	CMWV	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שמוט		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
102059	MT	Deuteronomy	15	5	CM<[	CMW<	CMW<	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שמוע		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
102136	MT	Deuteronomy	15	8	PTX[	PTX	PTX	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	פתח		noH	-	-	0	0	0	0	nnn	nnn	first		0
102186	MT	Deuteronomy	15	10	NTN[	NTWN	NTWN	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	נתון		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
102228	MT	Deuteronomy	15	11	PTX[	PTX	PTX	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	פתח		noH	-	-	0	0	0	0	nnn	nnn	first		0
102467	MT	Deuteronomy	16	1	CMR[	CMWR	CMWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שמור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
105070	MT	Deuteronomy	21	14	MKR[	MKR	MKR	CCC	CCC	qal	infa		unknown	unknown	verb				W	nnn	nnn	מכר		noH	-	-	0	1	0	0	nnn	nnn	first		0
105266	MT	Deuteronomy	21	23	QBR[	QBWR	QBWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	קבור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
106271	MT	Deuteronomy	23	22	DRC[	DRC	DRC	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	דרש		noH	-	-	0	0	0	0	nnn	nnn	first		0
106541	MT	Deuteronomy	24	9	ZKR[	ZKWR	ZKWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	זכור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
107093	MT	Deuteronomy	25	17	ZKR[	ZKWR	ZKWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	זכור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
107668	MT	Deuteronomy	27	1	CMR[	CMR	CMR	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	שמר		noH	-	-	0	0	0	0	nnn	nnn	first		0
108109	MT	Deuteronomy	28	1	CM<[	CMW<	CMW<	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	שמוע		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
110571	MT	Deuteronomy	30	18	>BD[	>BD	>BD	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	אבד		noH	-	-	0	0	0	0	nnn	nnn	first		0
111317	MT	Deuteronomy	31	26	LQX[	LQX	LQX	CCC	CCC	qal	infa		unknown	unknown	verb					nnn	nnn	לקח		noH	-	-	0	0	0	0	nnn	nnn	first		0
113209	MT	Joshua	1	13	ZKR[	ZKWR	ZKWR	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	זכור		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
115563	MT	Joshua	6	9	HLK[	HLWK	HLWK	CCMC	CCMC	qal	infa		unknown	unknown	verb					nnnn	nnnn	הלוך		noH	-	-	0	0	0	0	nnnn	nnnn	first		0
