tf_id	scroll	book	chapter	verse	lex	g_cons	stem	pattern	pattern_g_cons	vs	vt	nu	gn	ps	sp	prs	nme	hloc	prefix	rec_signs	cor_signs	heb_g_cons
2057588	4Q111	Lamentations	1	8	XV>[	XVW>	XVW>			qal	infa	NA		NA	verb					nnnn	nnnn	חטוא
2057775	4Q111	Lamentations	1	16	BKH[	BKW	BKW			qal	infa	NA	f	NA	verb					nnn	nnn	בכו
2057457	4Q111	Lamentations	1	2	BKH[	BKH	BKH			qal	infa	NA		NA	verb					rrr	nnn	בכה
2059595	4Q112	Daniel	11	13	BW>[	BW>	BW>			qal	infa	NA		NA	verb					rrr	nnn	בוא
2062886	4Q128	Deuteronomy	5	12	CMR[	CMWR	CMWR			qal	infa	NA		NA	verb					rrrr	nnnn	שמור
2064037	4Q128	Exodus	13	3	ZKR[	ZKWR	ZKWR			qal	infa	NA		NA	verb					nnnr	nnnn	זכור
2063672	4Q128	Deuteronomy	11	13	CM<[	CM<	CM<			qal	infa	NA		NA	verb					rrr	nnn	שמע
2064350	4Q129	Deuteronomy	5	12	CMR[	CMWR	CMWR			qal	infa	NA		NA	verb					rrrr	nnnn	שמור
2065106	4Q130	Exodus	13	3	ZKR[	ZKWR	ZKWR			qal	infa	NA		NA	verb					rrrr	nnnn	זכור
2065517	4Q130	Deuteronomy	11	13	CM<[	CM<	CM<			qal	infa	NA		NA	verb					rrr	nnn	שמע
2066287	4Q134	Deuteronomy	5	12	CMR[	CMWR	CMWR			qal	infa	NA		NA	verb					rrrr	nnnn	שמור
2067296	4Q136	Exodus	13	3	ZKR[	ZKWR	ZKWR			qal	infa	NA		NA	verb					nnnn	nnnn	זכור
2067730	4Q137	Deuteronomy	5	12	CMR[	CMWR	CMWR			qal	infa	NA		NA	verb					nnnn	nnnn	שמור
2068854	4Q139	Deuteronomy	5	12	CMR[	CMWR	CMWR			qal	infa	NA		NA	verb					rrrr	nnnn	שמור
2069264	4Q140	Exodus	13	3	ZKR[	ZKWR	ZKWR			qal	infa	NA		NA	verb					rrrr	nnnn	זכור
2069922	4Q142	Deuteronomy	5	12	CMR[	CMWR	CMWR			qal	infa	NA		NA	verb					rrrr	nnnn	שמור
2070306	4Q144	Deuteronomy	11	13	CM<[	CM<	CM<			qal	infa	NA		NA	verb					rrr	nnn	שמע
2070581	4Q145	Exodus	13	3	ZKR[	ZKWR	ZKWR			qal	infa	NA		NA	verb					rrrr	nnnn	זכור
2070824	4Q149	Exodus	20	8	ZKR[	ZKWR	ZKWR			qal	infa	NA		NA	verb					rrrr	nnnn	זכור
2071724	4Q154	Exodus	13	3	ZKR[	ZKWR	ZKWR			qal	infa	NA		NA	verb					nnnn	nnnn	זכור
2072503	5Q1	Deuteronomy	8	19	CKX[	CKX	CKX			qal	infa	NA		NA	verb					rrr	nnn	שכח
2072530	5Q1	Deuteronomy	8	19	>BD[	>BD	>BD			qal	infa	NA		NA	verb					rrr	nnn	אבד
2072098	5Q1	Deuteronomy	7	18	ZKR[	ZKR	ZKR			qal	infa	NA		NA	verb					rnn	nnn	זכר
2074144	6Q4	1_Kings	22	28	CWB[	CWB	CWB			qal	infa	NA		NA	verb					rnr	nnn	שוב
2074179	6Q4	1_Kings	22	30	BW>[	B>	B>			qal	infa	NA	m	NA	verb				W	rr	nn	בא
2076052	8Q2	Psalms	17	5	TMK[	TMK	TMK			qal	infa	NA		NA	verb					nnn	nnn	תמך
2077471	8Q3	Deuteronomy	5	12	CMR[	CMWR	CMWR			qal	infa	NA		NA	verb					nnnn	nnnn	שמור
2076251	8Q3	Exodus	13	3	ZKR[	ZKWR	ZKWR			qal	infa	NA		NA	verb					rrrr	nnnn	זכור
2076568	8Q3	Deuteronomy	11	13	CM<[	CM<	CM<			qal	infa	NA		NA	verb					nnn	nnn	שמע
2078608	8Q4	Deuteronomy	11	13	CM<[	CM<	CM<			qal	infa	NA		NA	verb					rrr	nnn	שמע
2080117	11Q1	Leviticus	20	2	MWT[	MWT	MWT			qal	infa	NA		NA	verb					nnn	nnn	מות
2079195	11Q1	Leviticus	13	7	PFH[	PFH	PFH			qal	infa	NA		NA	verb					rrr	nnn	פשה
2081229	11Q1	Leviticus	27	19	G>L[	G>L	G>L			qal	infa	NA		NA	verb					nnn	nnn	גאל
2081108	11Q1	Leviticus	27	13	G>L[	G>L	G>L			qal	infa	NA		NA	verb					nnn	nnn	גאל
2088680	Xq1	Exodus	13	3	ZKR[	ZKWR	ZKWR			qal	infa	NA		NA	verb					nnnn	nnnn	זכור
2089697	Xq3	Deuteronomy	5	12	CMR[	CMWR	CMWR			qal	infa	NA		NA	verb					nnnn	nnnn	שמור
2090789	Mur2	Deuteronomy	15	2	CMV[	CMWV	CMWV			qal	infa	NA		NA	verb					rrrr	nnnn	שמוט
2091000	Mur4	Exodus	13	3	ZKR[	ZKWR	ZKWR			qal	infa	NA		NA	verb					nnnn	nnnn	זכור
2091322	Mur4	Deuteronomy	11	13	CM<[	CM<	CM<			qal	infa	NA		NA	verb					nnn	nnn	שמע
2092567	Mur88	Amos	7	17	GLH[	GLH	GLH			qal	infa	NA		NA	verb					rrr	nnn	גלה
2095077	Mur88	Micah	2	12	>SP[	>SP	>SP			qal	infa	NA		NA	verb					nnn	nnn	אסף
2094951	Mur88	Micah	2	4	CDD[	CDWD	CDWD			qal	infa	NA		NA	verb					rnnn	nnnn	שדוד
2096707	Mur88	Nahum	2	2	NYR[	NYWR	NYWR			qal	infa	NA		NA	verb					rrrr	nnnn	נצור
2097121	Mur88	Nahum	3	13	PTX[	PTWX	PTWX			qal	infa	NA		NA	verb					rrnn	nnnn	פתוח
2099010	Mur88	Haggai	1	9	PNH[	PNH	PNH			qal	infa	NA		NA	verb					rrr	nnn	פנה
2094768	Mur88	Micah	1	10	BKH[	BKW	BKW			qal	infa	NA		NA	verb					rrr	nnn	בכו
2097508	Mur88	Habakkuk	2	3	BW>[	B>	B>			qal	infa	NA		NA	verb					rr	nn	בא
2092438	Mur88	Amos	7	11	GLH[	GLH	GLH			qal	infa	NA		NA	verb					rnn	nnn	גלה
2098959	Mur88	Haggai	1	6	>KL[	>KWL	>KWL			qal	infa	NA		NA	verb					nrrr	nnnn	אכול
2098964	Mur88	Haggai	1	6	CTH[	CTW	CTW			qal	infa	NA		NA	verb					nnn	nnn	שתו
2098969	Mur88	Haggai	1	6	LBC[	LBWC	LBWC			qal	infa	NA		NA	verb					nnnn	nnnn	לבוש
2091639	Mur88	Joel	2	26	>KL[	>KWL	>KWL			qal	infa	NA		NA	verb					rrrr	nnnn	אכול
2091641	Mur88	Joel	2	26	FB<[	FBW<	FBW<			qal	infa	NA		NA	verb				W	rrrr	nnnn	שבוע
2101991	Xhev/se2	Numbers	27	7	NTN[	NTN	NTN			qal	infa	NA		NA	verb					nnn	nnn	נתן
2102341	Xhev/se5	Exodus	13	3	ZKR[	ZKR	ZKR			qal	infa	NA		NA	verb					nnn	nnn	זכר
2102740	Xhev/se5	Deuteronomy	11	13	CM<[	CM<	CM<			qal	infa	NA		NA	verb					nnn	nnn	שמע
2102956	34Se1	Exodus	13	3	ZKR[	ZKWR	ZKWR			qal	infa	NA		NA	verb					nnnn	nnnn	זכור
2104272	Mas1b	Leviticus	10	18	>KL[	>KWL	>KWL			qal	infa	NA		NA	verb					rrrn	nnnn	אכול
2104212	Mas1b	Leviticus	10	16	DRC[	DRC	DRC			qal	infa	NA		NA	verb					nnr	nnn	דרש
2105372	Mas1d	Ezekiel	36	3	C>P[	C>P	C>P			qal	infa	NA		NA	verb				W	rrr	nnn	שאף
2107495	Arugleviticus	Leviticus	24	17	MWT[	MWT	MWT			qal	infa	NA		NA	verb					rrr	nnn	מות
2107471	Arugleviticus	Leviticus	24	16	MWT[	MWT	MWT			qal	infa	NA		NA	verb					nrr	nnn	מות
2107473	Arugleviticus	Leviticus	24	16	RGM[	RGWM	RGWM			qal	infa	NA		NA	verb					rrrr	nnnn	רגום
2107830	Xjudges	Judges	4	9	HLK[	HLK	HLK			qal	infa	NA		NA	verb					nnn	nnn	הלך
